U-Net,SegNet,FCN,Thresh,F1,IoU,Accuracy,Precision,Recall
0.0,0.5,0.5,0.38,0.7865216941262336,0.6481547227857746,0.9061271103335099,0.7761039948426729,0.7972228746533608
0.7000000000000001,0.0,0.29999999999999993,0.37,0.7863949738572684,0.6479826284003809,0.9033782717207788,0.7554794625278226,0.8199486767014256
0.30000000000000004,0.1,0.6,0.32999999999999996,0.784820402933756,0.6458472522494408,0.9019847923601177,0.749169203947377,0.8240342545028017
0.2,0.2,0.6000000000000001,0.32999999999999996,0.7847680595886892,0.6457763611318676,0.9024006480902014,0.7522001266162697,0.8202838057908349
0.4,0.5,0.09999999999999998,0.37,0.783588348384172,0.6441802396130814,0.9045029358125068,0.7705834845995794,0.797039705428218
0.1,0.7000000000000001,0.19999999999999996,0.3,0.7831720904619531,0.6436177910965952,0.9008055942159303,0.7446719744659244,0.8258702194643495
0.5,0.4,0.09999999999999998,0.38999999999999996,0.782887541081249,0.6432335288049454,0.904793766182913,0.7746145970915892,0.7913391051248309
0.7000000000000001,0.1,0.19999999999999993,0.36,0.7826592791839028,0.6429254083271421,0.9016228796730579,0.7514289965106233,0.8165980669640183
0.1,0.30000000000000004,0.6,0.35,0.78252123235951,0.6427391211896346,0.903049563018369,0.7620677391772307,0.8041029287198631
0.4,0.0,0.6,0.33999999999999997,0.7825148608202657,0.6427305241417159,0.9008940844468667,0.7466908144417496,0.821949605427605
0.30000000000000004,0.6000000000000001,0.09999999999999987,0.33999999999999997,0.7820207646983786,0.6420641196933307,0.9025505764383666,0.7595424768129091,0.805870096856146
0.6000000000000001,0.30000000000000004,0.09999999999999987,0.38,0.7804704823912263,0.6399767057226635,0.9026033374625193,0.7635475917600687,0.79816051779302
0.0,0.4,0.6,0.33999999999999997,0.7802199955022394,0.6396399296956218,0.9012268361910968,0.7540612782499152,0.808258851429881
0.2,0.7000000000000001,0.09999999999999998,0.31,0.7777373377607971,0.6363094959905008,0.8992373506787797,0.7456298907141047,0.8127343604722049
0.8,0.0,0.19999999999999996,0.37,0.7771446449579891,0.6355164104815922,0.8993766811532034,0.747843788871831,0.8088351719093955
0.7000000000000001,0.2,0.09999999999999992,0.37,0.7765428683140363,0.6347119559967308,0.8998386624833228,0.752360261322838,0.8023316736434656
0.0,0.8,0.19999999999999996,0.3,0.7762752237224969,0.6343544231402741,0.8983065242498693,0.7424332469002978,0.8133497545761499
0.5,0.5,0.0,0.38999999999999996,0.7743498910733773,0.6317870705917394,0.9011678695678711,0.7670633229056492,0.7817762225663369
0.4,0.6000000000000001,-1.1102230246251565e-16,0.38,0.7737427475921471,0.6309791415204975,0.9011013944384078,0.7679815166418849,0.7795910719183186
0.6000000000000001,0.4,-1.1102230246251565e-16,0.39999999999999997,0.7728597852060309,0.6298056055074565,0.9005517556633748,0.7658633056190887,0.7799852758693865
0.8,0.1,0.09999999999999995,0.37,0.772082879821591,0.6287744245497425,0.8974918446070711,0.7456674818104037,0.8004385534436463
0.1,0.8,0.09999999999999998,0.32,0.7718129303528373,0.6284164279534599,0.8979110180492132,0.7491020211132344,0.7959439720141201
0.2,0.1,0.7000000000000001,0.3,0.7715297705492761,0.6280410813910687,0.8952811200853804,0.7323512237110965,0.8151371097196661
0.30000000000000004,0.0,0.7,0.3,0.7714124619858369,0.6278856320192532,0.8946788411744884,0.7288296372161106,0.8192799666059838
0.30000000000000004,0.7000000000000001,-1.1102230246251565e-16,0.33999999999999997,0.7712759075209765,0.6277047166693106,0.8981801556869292,0.7521221674519702,0.7914306897374023
0.1,0.2,0.7,0.3,0.7712536901513724,0.6276752855991478,0.8954879330917144,0.7341931261760811,0.8122546403954027
