lake,year,month,area_m2,temp_C,source,region,hemisphere,pet_mm,precip_mm,snow_cover_pct,snow_depth_cm
Namtso,2021,7,3114824.131,7.122917922,Landsat-7/8/9,Tibetan Plateau,north,-3.947735605,5.203306765,223.4163846,0.235988525
Namtso,2021,8,134065045.1,6.90050952,Sentinel-2,Tibetan Plateau,north,-3.463365338,7.306423073,213.0301862,0.224549838
Namtso,2022,6,16175.69214,6.212582315,Sentinel-2,Tibetan Plateau,north,-4.001008914,3.431656831,234.7540918,0.24225999
Namtso,2022,7,5399.323059,8.058798047,Sentinel-2,Tibetan Plateau,north,-4.991709802,2.881136357,235.3003931,0.23966934
Namtso,2022,8,71892.34381,8.063334798,Sentinel-2,Tibetan Plateau,north,-4.333828772,3.739427862,87.96053635,0.079905871
Namtso,2023,6,6290.316833,7.934267215,Sentinel-2,Tibetan Plateau,north,-3.728592398,3.318745751,947.9511537,1.302676689
Namtso,2023,7,124953991,8.737378592,Sentinel-2,Tibetan Plateau,north,-3.548046345,6.917345457,378.1613214,0.399356376
Namtso,2023,8,18507015.6,9.132707426,Sentinel-2,Tibetan Plateau,north,-3.770490718,6.520833862,242.7539071,0.247393017
Namtso,2024,6,1575695.885,9.015835195,Sentinel-2,Tibetan Plateau,north,-3.680146677,4.115495144,441.489171,0.493198351
Namtso,2024,7,193217.7963,9.787576096,Landsat-7/8/9,Tibetan Plateau,north,-3.964453087,7.110311048,53.6365314,0.047958331
Namtso,2024,8,400223872.5,8.334005234,Sentinel-2,Tibetan Plateau,north,-4.359493914,3.248580516,139.244656,0.136351526
Yamdrok,2000,6,236943446.3,7.969414658,Landsat-7/8/9,Tibetan Plateau,north,-4.556829838,4.129180697,203.8182124,0.214317219
Yamdrok,2000,7,350386069.8,8.304840004,GSW,Tibetan Plateau,north,-4.171130424,7.446910914,115.2611718,0.120445895
Yamdrok,2000,8,351274725.1,7.56223296,GSW,Tibetan Plateau,north,-3.628102014,9.223121602,238.6847618,0.248234287
Yamdrok,2001,6,8503872.286,7.411404822,Landsat-7/8/9,Tibetan Plateau,north,-5.009725723,2.59474146,261.6624541,0.286026705
Yamdrok,2001,7,1820545.54,9.235505324,GSW,Tibetan Plateau,north,-4.99096044,4.689316701,20.7163942,0.015038944
Yamdrok,2001,8,325781333,8.016927349,Landsat-7/8/9,Tibetan Plateau,north,-4.153270551,7.02262782,178.2859872,0.179875687
Yamdrok,2002,6,161174012.1,7.498480657,Landsat-7/8/9,Tibetan Plateau,north,-4.745186751,3.302163738,211.1783815,0.224258785
Yamdrok,2002,7,1235203400,8.299239194,Landsat-7/8/9,Tibetan Plateau,north,-3.941474705,7.978143225,281.3796382,0.312317083
Yamdrok,2002,8,290116817.3,7.263220347,GSW,Tibetan Plateau,north,-4.029349062,6.192746239,293.8272073,0.307981858
Yamdrok,2003,6, -   ,7.165553716,GSW,Tibetan Plateau,north,-4.531865809,5.419014593,264.4998462,0.27505688
Yamdrok,2003,7,785327852.2,7.885349644,Landsat-7/8/9,Tibetan Plateau,north,-4.261164382,6.385488782,296.7505444,0.317256864
Yamdrok,2003,8,631389600.7,8.782767863,Landsat-7/8/9,Tibetan Plateau,north,-4.372437355,5.113158535,77.75389643,0.081813817
Yamdrok,2004,6,1210478683,7.099272651,Landsat-7/8/9,Tibetan Plateau,north,-4.561996991,4.748275302,311.0931496,0.332236385
Yamdrok,2004,7,1210478683,7.282069115,Landsat,Tibetan Plateau,north,-3.684721226,8.422451793,423.7110997,0.469403126
Yamdrok,2004,8,695065805.4,8.097310286,Landsat-7/8/9,Tibetan Plateau,north,-4.292344867,6.172525789,76.95185389,0.075011285
Yamdrok,2005,6,747824179.7,8.476609437,Landsat-7/8/9,Tibetan Plateau,north,-5.258845527,2.083302826,35.07353969,0.031886384
Yamdrok,2005,7,2721178.794,8.59150641,Landsat-7/8/9,Tibetan Plateau,north,-4.472315677,5.932060353,220.848864,0.237894852
Yamdrok,2005,8,621165643.4,8.676037505,GSW,Tibetan Plateau,north,-4.226262758,6.593934771,43.75267658,0.04079194
Yamdrok,2006,6,197609027.8,8.319775064,Landsat-7/8/9,Tibetan Plateau,north,-5.021018152,3.496143045,122.1482225,0.12691773
Yamdrok,2006,7,731763081.2,9.186858259,Landsat-7/8/9,Tibetan Plateau,north,-4.804210171,5.161128599,117.5671035,0.117647892
Yamdrok,2006,8,789234958.7,7.993777163,GSW,Tibetan Plateau,north,-4.669257635,4.620794888,296.4029616,0.314662962
Yamdrok,2007,6,354477959,7.577924134,Landsat-7/8/9,Tibetan Plateau,north,-5.044834488,3.314718502,616.6859728,0.708460583
Yamdrok,2007,7,559551866.4,8.544551068,GSW,Tibetan Plateau,north,-4.37597781,7.19322355,317.6081771,0.355452319
Yamdrok,2007,8,485489.7464,8.470316405,Landsat-7/8/9,Tibetan Plateau,north,-4.171021248,6.142672629,59.6330105,0.054141231
Yamdrok,2008,6,3867022.418,7.556741526,Landsat-7/8/9,Tibetan Plateau,north,-4.523318118,4.853916384,398.0625469,0.426603754
Yamdrok,2008,7,385115768.4,8.626563232,GSW,Tibetan Plateau,north,-4.396922014,6.656945775,267.0551852,0.307718334
Yamdrok,2008,8,168057427.6,7.387605424,GSW,Tibetan Plateau,north,-3.576094036,7.196920296,301.7852448,0.31909378
Yamdrok,2009,6,272642.954,8.301745403,Landsat-7/8/9,Tibetan Plateau,north,-5.089414318,3.226850757,176.6982974,0.185280509
Yamdrok,2009,7,12142718.09,9.689115273,Landsat-7/8/9,Tibetan Plateau,north,-4.839115933,5.19800847,59.97515745,0.060923094
Yamdrok,2009,8,116997359.8,8.067420513,Landsat-7/8/9,Tibetan Plateau,north,-3.959787668,6.144762902,294.6095527,0.317814914
Yamdrok,2010,6,214229481.7,8.001339711,Landsat-7/8/9,Tibetan Plateau,north,-4.903828096,3.335578002,384.7631654,0.40997075
Yamdrok,2010,7,184366525.1,9.026419893,GSW,Tibetan Plateau,north,-4.334353528,5.922611901,77.64062252,0.080821727
Yamdrok,2010,8,2901947.849,8.520627892,Landsat-7/8/9,Tibetan Plateau,north,-3.944139695,8.039356764,154.520276,0.162914569
Yamdrok,2011,6,906125817.8,7.712873182,Landsat-7/8/9,Tibetan Plateau,north,-4.781580033,4.035445536,203.4116003,0.210844905
Yamdrok,2011,7,582179374,8.337973469,GSW,Tibetan Plateau,north,-3.941774026,8.012387323,182.7380054,0.197870231
Yamdrok,2011,8,185815950.7,7.436085835,Landsat-7/8/9,Tibetan Plateau,north,-4.136566484,5.687486024,272.5873514,0.2846755
Yamdrok,2012,6,172187.8256,9.39464887,Landsat-7/8/9,Tibetan Plateau,north,-5.250785116,3.108032274,51.51263199,0.041574761
Yamdrok,2012,7, -   ,9.061025389,GSW,Tibetan Plateau,north,-4.366224374,7.351719364,157.8711625,0.164945253
Yamdrok,2012,8,257347459.7,8.311142558,Landsat-7/8/9,Tibetan Plateau,north,-4.484948702,5.567756543,298.9977827,0.33207362
Yamdrok,2013,6,308849560.8,8.166210872,Landsat-7/8/9,Tibetan Plateau,north,-4.692101138,5.492612509,308.6852393,0.333367988
Yamdrok,2013,7,383140631.2,8.783956576,GSW,Tibetan Plateau,north,-4.147020763,8.293504155,121.8342726,0.120386473
Yamdrok,2013,8,3255131.823,7.752853382,Landsat-7/8/9,Tibetan Plateau,north,-4.378249555,5.62267869,212.5509428,0.217652604
Yamdrok,2014,6,169688.1313,8.731797965,Landsat-7/8/9,Tibetan Plateau,north,-5.328171942,2.910573658,138.1279153,0.145317894
Yamdrok,2014,7,11032277.31,8.70176844,Landsat-7/8/9,Tibetan Plateau,north,-4.092256121,8.230361968,113.3413851,0.113470264
Yamdrok,2014,8,600069495,8.122864088,GSW,Tibetan Plateau,north,-4.14670228,6.642172646,157.3225885,0.162167919
Yamdrok,2015,6,65239.08499,8.49185188,Landsat-7/8/9,Tibetan Plateau,north,-5.223892951,2.451479449,52.82053696,0.047018336
Yamdrok,2015,7,792079.3841,8.905243783,Landsat-7/8/9,Tibetan Plateau,north,-5.171922399,3.281941729,167.8482524,0.177782998
Yamdrok,2015,8,1687681.365,7.952278032,Landsat-7/8/9,Tibetan Plateau,north,-3.937836952,7.188606261,426.4603406,0.467039162
Yamdrok,2016,6,475790004.6,7.881954175,GSW,Tibetan Plateau,north,-4.337437598,6.39010696,178.631343,0.18119589
Yamdrok,2016,7,469043655.5,8.593171938,GSW,Tibetan Plateau,north,-4.027123186,8.304638328,222.6187676,0.235288033
Yamdrok,2016,8,10330590.54,8.240752589,Landsat-7/8/9,Tibetan Plateau,north,-4.428337745,4.791487145,99.30930919,0.101774456
Yamdrok,2017,6,487005186.7,7.879972249,Landsat-7/8/9,Tibetan Plateau,north,-4.833967999,3.836858857,112.5034051,0.114883475
Yamdrok,2017,7,9022677.678,8.327720331,Landsat-7/8/9,Tibetan Plateau,north,-4.173560217,7.010801025,353.2169698,0.430848555
Yamdrok,2017,8,125777299.2,8.66611137,Landsat-7/8/9,Tibetan Plateau,north,-4.129866895,6.629885086,57.38777192,0.05682039
Yamdrok,2018,6,9004077.57,8.180667286,Landsat-7/8/9,Tibetan Plateau,north,-4.773142276,3.546815521,404.792987,0.456614469
Yamdrok,2018,7,170049.9284,8.913930834,Landsat-7/8/9,Tibetan Plateau,north,-3.999622889,8.99639955,150.2939066,0.158023877
Yamdrok,2018,8,709333530.3,8.56647454,GSW,Tibetan Plateau,north,-3.970499883,9.442155804,115.8621973,0.115121163
Yamdrok,2019,6,449873677.6,9.538172198,Sentinel-2,Tibetan Plateau,north,-5.636027652,1.038844542,28.06257069,0.022632047
Yamdrok,2019,7,185703628,8.496888129,Sentinel-2,Tibetan Plateau,north,-4.115609235,7.633094234,402.2030541,0.450194305
Yamdrok,2019,8,16823263.73,8.628552814,Sentinel-2,Tibetan Plateau,north,-4.244549922,6.064199503,71.48610599,0.075987873
Yamdrok,2020,6,427818575.1,7.420970544,Sentinel-2,Tibetan Plateau,north,-4.146981175,4.594193468,299.2656211,0.662209566
Yamdrok,2020,7,8972878.073,8.740338184,Sentinel-2,Tibetan Plateau,north,-3.806094059,7.644197429,79.64372921,0.080682215
Yamdrok,2020,8,425041746,8.819191186,Sentinel-2,Tibetan Plateau,north,-4.414266054,5.494579336,78.60208149,0.085575491
Yamdrok,2021,6,134085.673,8.149348817,Sentinel-2,Tibetan Plateau,north,-4.773676268,4.715677477,254.2805365,0.262136461
Yamdrok,2021,7,1192331.334,8.474510592,Sentinel-2,Tibetan Plateau,north,-3.910697,8.316796164,243.6098312,0.268690971
Yamdrok,2021,8,432079779.5,8.448500873,Sentinel-2,Tibetan Plateau,north,-3.769103,7.978860179,186.6277826,0.200210943
Yamdrok,2022,6,11415350.74,8.105495383,Sentinel-2,Tibetan Plateau,north,-4.49949084,5.081739358,305.7173512,0.337170998
Yamdrok,2022,7,53951513.7,9.200686934,Sentinel-2,Tibetan Plateau,north,-4.998481882,4.093553143,124.7612319,0.132009941
Yamdrok,2022,8,17231772.87,9.201073222,Sentinel-2,Tibetan Plateau,north,-4.637351541,4.541309972,18.17705784,0.007241738
Yamdrok,2023,6,2112876.642,10.67540069,Sentinel-2,Tibetan Plateau,north,-5.003302241,3.837340533,245.9995583,0.29982037
Yamdrok,2023,7,370244290.7,11.49313273,Sentinel-2,Tibetan Plateau,north,-3.952549835,9.345830589,142.2374662,0.156447901
Yamdrok,2023,8,63456450.9,11.50696676,Sentinel-2,Tibetan Plateau,north,-4.03665234,6.792909401,51.72287234,0.05126572
Yamdrok,2024,6,395046920.5,11.84445854,Sentinel-2,Tibetan Plateau,north,-4.622345634,4.33268127,155.9271745,0.171459688
Yamdrok,2024,7,368779066.9,12.18958807,Sentinel-2,Tibetan Plateau,north,-4.232113297,7.860954999,14.85327769,0.008468485
Yamdrok,2024,8,15161889.28,10.31073794,Sentinel-2,Tibetan Plateau,north,-4.448851693,5.239455869,77.65571988,0.082607768
Manasarovar,2000,6, -   ,2.50826205,GSW,Tibetan Plateau,north,-2.237548591,4.105716286,2011.032338,4.668251359
